종목명,종목코드
삼성전자,005930
SK하이닉스,000660
삼성바이오로직스,207940
LG에너지솔루션,373220
현대차,005380
셀트리온,068270
삼성전자우,005935
기아,000270
NAVER,035420
KB금융,105560
HD현대중공업,329180
신한지주,055550
현대모비스,012330
한화에어로스페이스,012450
메리츠금융지주,138040
삼성물산,028260
POSCO홀딩스,005490
한화오션,042660
카카오,035720
SK이노베이션,096770
크래프톤,259960
삼성생명,032830
삼성화재,000810
하나금융지주,086790
고려아연,010130
HMM,011200
HD한국조선해양,009540
LG화학,051910
두산에너빌리티,034020
삼성SDI,006400
HD현대일렉트릭,267260
KT&G,033780
한국전력,015760
LG전자,066570
SK스퀘어,402340
우리금융지주,316140
기업은행,024110
SK텔레콤,017670
KT,030200
카카오뱅크,323410
삼성중공업,010140
유한양행,000100
삼성전기,009150
LG,003550
SK,034730
하이브,352820
현대글로비스,086280
SK바이오팜,326030
포스코퓨처엠,003670
삼성에스디에스,018260
